AP	| BUY		| Sun Nov 03 00:00:00 IST 2013	| HIGH		| 500.0	|
AP	| BUY		| Sat Nov 09 00:00:00 IST 2013	| HIGH		| 500.0	|
AP	| BUY		| Tue Nov 12 00:00:00 IST 2013	| HIGH		| 500.0	|
AP	| BUY		| Mon Nov 25 00:00:00 IST 2013	| HIGH		| 10.0	|
AP	| SELL		| Mon Nov 25 00:00:00 IST 2013	| HIGH		| 10.0	|
AP	| DEPOSIT	| Wed Nov 06 00:00:00 IST 2013	| HIGH		| 500.0	|
AP	| DEPOSIT	| Tue Nov 19 00:00:00 IST 2013	| HIGH		| 500.0	|
AS	| BUY		| Wed Nov 06 00:00:00 IST 2013	| NORMAL	| 50.0	|
AS	| SELL		| Thu Nov 07 00:00:00 IST 2013	| NORMAL	| 100.0	|
AS	| SELL		| Sun Nov 10 00:00:00 IST 2013	| NORMAL	| 100.0	|
AS	| SELL		| Wed Nov 13 00:00:00 IST 2013	| NORMAL	| 100.0	|
AS	| SELL		| Wed Nov 20 00:00:00 IST 2013	| NORMAL	| 100.0	|
AS	| DEPOSIT	| Sat Nov 02 00:00:00 IST 2013	| NORMAL	| 50.0	|
GS	| BUY		| Fri Nov 08 00:00:00 IST 2013	| HIGH		| 500.0	|
GS	| BUY		| Sat Nov 23 00:00:00 IST 2013	| HIGH		| 500.0	|
GS	| DEPOSIT	| Mon Nov 11 00:00:00 IST 2013	| HIGH		| 500.0	|
GS	| WITHDRAW	| Fri Nov 01 00:00:00 IST 2013	| HIGH		| 500.0	|
GS	| WITHDRAW	| Tue Nov 05 00:00:00 IST 2013	| HIGH		| 500.0	|
GS	| WITHDRAW	| Tue Nov 26 00:00:00 IST 2013	| HIGH		| 500.0	|
HJ	| SELL		| Mon Nov 04 00:00:00 IST 2013	| NORMAL	| 100.0	|
HJ	| WITHDRAW	| Sat Nov 30 00:00:00 IST 2013	| NORMAL	| 100.0	|
